GameNum,Alekhine,Euwe,Alekhine_score
1,9.1,30.2,1.0
2,43.9,30.6,0.0
3,27.6,41.0,1.0
4,19.4,36.6,1.0
5,5.2,7.6,0.5
6,21.5,23.5,0.5
7,18.9,44.2,1.0
8,17.2,19.2,0.0
9,28.1,32.3,1.0
10,43.8,28.8,0.0
11,6.3,6.4,0.5
12,20.5,6.4,0.0
13,30.3,29.4,0.5
14,33.2,26.0,0.0
15,33.1,26.8,0.5
16,13.6,25.0,1.0
17,19.6,11.9,0.5
18,4.8,0.0,0.5
19,6.2,18.1,1.0
20,25.3,10.7,0.0
21,29.7,17.6,0.0
22,13.2,9.4,0.5
23,13.7,16.1,0.5
24,35.7,26.7,0.5
25,31.1,8.4,0.0
26,18.8,22.0,0.0
27,17.0,35.4,1.0
28,15.5,20.6,0.5
29,3.6,5.7,0.5
30,25.3,16.9,0.5
