GameNum,Alekhine,Capablanca,Alekhine_score
1,35.1,48.2,1.0
2,2.9,2.8,0.5
3,41.1,20.9,0.0
4,3.6,3.6,0.5
5,0.9,1.5,0.5
6,7.5,5.8,0.5
7,30.3,6.2,0.0
8,3.8,1.6,0.5
9,1.0,1.3,0.5
10,0.3,0.8,0.5
11,15.5,19.8,1.0
12,7.1,31.7,1.0
13,3.1,1.1,0.5
14,10.1,9.4,0.5
15,4.4,1.9,0.5
16,13.5,17.0,0.5
17,5.3,5.8,0.5
18,12.5,7.9,0.5
19,8.0,10.7,0.5
20,4.6,2.9,0.5
21,10.7,32.8,1.0
22,10.8,8.3,0.5
23,4.5,10.4,0.5
24,13.3,9.9,0.5
25,12.5,10.5,0.5
26,3.6,4.1,0.5
27,35.0,14.8,0.5
28,5.4,4.8,0.5
29,20.0,7.0,0.0
30,3.2,1.9,0.5
31,23.1,24.1,0.5
32,8.8,16.3,1.0
33,10.1,11.9,0.5
34,13.0,21.4,1.0
